id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1534751645195997184,"RT @bongbongmarcos: Today, we received Ambassador Johariah Wahab of Brunei Darussalam and had a meaningful dialogue on labour, education, h…",paralejasjoven1,42,0,626,,2022-06-09 04:18:01+00:00
1534750868540575744,"RT @ChartsBright: Worldwide Trends &amp; in Other Locations

#คืนนับดาวEP3 

🌎2 Worldwide 

🇹🇭1 Thailand 
🇲🇴1 Macao
🇱🇦2 Laos 
🇧🇳6 Brunei 
🇲🇲7 M…",panida099,377,0,182,,2022-06-09 04:14:56+00:00
1534750731743657986,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",WannaPiam,323,0,234,,2022-06-09 04:14:23+00:00
1534749913849794560,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",lovebrightVachi,752,0,234,,2022-06-09 04:11:08+00:00
1534749625877688320,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",tobvc1227,272,0,234,,2022-06-09 04:09:59+00:00
1534749500501557248,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",JajariyaJa,209,0,234,"ชลบุรี, ประเทศไทย",2022-06-09 04:09:29+00:00
1534748677893685248,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",liezel_maralit,6,0,234,,2022-06-09 04:06:13+00:00
1534747666155900928,@tayufiq @vontGiv @LinLinPartyBebe @Trililula23 The Indonesian government is very serious in developing the Indones… https://t.co/ggGX0weB9R,DSetyopribadi,39,0,0,"Kota Yogyakarta, Yogyakarta",2022-06-09 04:02:12+00:00
1534747528847147008,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",Sirikan77321925,18,0,234,,2022-06-09 04:01:39+00:00
1534747383627538432,Fintech Startup Kissht Raises $80 Mn In A Bid To Enter BNPL Cards Segment - Inc42: Mumbai-based fintech startup Kis… https://t.co/fjLwbwngQn,SuriyaSubraman,5522,0,0,"London, UK",2022-06-09 04:01:05+00:00
1534747347816570880,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",sunbrightfoeva,890,0,234,Nepal,2022-06-09 04:00:56+00:00
1534746706759147520,@DSetyopribadi @vontGiv @LinLinPartyBebe @Trililula23 The one who change the name is kdbp brunei and not Malaysia s… https://t.co/MBQahsIpmb,tayufiq,48,1,0,,2022-06-09 03:58:23+00:00
1534746521714864129,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",iikhaeii,959,0,234,"Bangkok, Thailand",2022-06-09 03:57:39+00:00
1534745314078339072,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",Aminam_nam,114,0,665,,2022-06-09 03:52:51+00:00
1534744658890596354,"@tayufiq @vontGiv @LinLinPartyBebe @Trililula23 What is the purpose of MABBIM to standardize Indonesian languages,… https://t.co/9QqzF4x3mu",DSetyopribadi,39,0,0,"Kota Yogyakarta, Yogyakarta",2022-06-09 03:50:15+00:00
1534743766686638080,"(2/2) will be eligible to win B$500 for 5 winners! That's B$500 for EACH winner.

Promotion valid for participation… https://t.co/4R0gUWIVfC",TheBruneian,2095,0,0,Brunei,2022-06-09 03:46:42+00:00
1534743763641565184,"(1/2) Be Active, Be Protected. Participate in our Takaful Brunei Mobile TAKAFUL PRODUCT OF THE MONTH - TBA Personal… https://t.co/D8PnNR8dYx",TheBruneian,2095,0,0,Brunei,2022-06-09 03:46:42+00:00
1534743656741085184,"RT @alexraf: At Bonn UN climate talks, Brunei asks the @ipcc where the coal, oil, and gas need to stay in the ground (hint everywhere). IPC…",MapesBrendan,344,0,14,"Washington, DC",2022-06-09 03:46:16+00:00
1534743623077466112,RT @Amni_lemon: @freemonotheist Most of the time the world relates Islam with the middle east &amp; the Indo Pak areas. Come to South east Asia…,tehahnrosli,268,0,12,"Kuantan, Pahang",2022-06-09 03:46:08+00:00
1534742611335913472,Our #Brunei distributor demonstrates and explains #Inrico PoC technology to the newly appointed #Minister of Transp… https://t.co/f6JYu0yDVA,InricoRyan,74,0,0,shenzhen,2022-06-09 03:42:07+00:00
1534742309190791169,@DSetyopribadi @vontGiv @LinLinPartyBebe @Trililula23 Actually it's Brunei who are more concerned about it and not… https://t.co/b2QRmbGtNs,tayufiq,48,0,0,,2022-06-09 03:40:55+00:00
1534741166234578944,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",BvcFor,229,0,234,,2022-06-09 03:36:22+00:00
1534740733734924288,"Government of Brunei Boeing 767 27GER (V8-MHB, #8953C7) at 40000 ft heading northwest bound  - Exact location unkno… https://t.co/GrrPOOCMyN",EDDC_Radar,2276,0,0,EDDC,2022-06-09 03:34:39+00:00
1534740048176099329,RT @MiraZarifah: being short is a curse but thank god im in brunei,NotApisOfShxt,8,0,50,,2022-06-09 03:31:56+00:00
1534739939916939265,"RT @MadMaper13: @DrDreHistorian It is also important to mention that 5 of the 20 monarchies have their own individual monarchs, Brunei, Esw…",evilscootus,1378,0,1,,2022-06-09 03:31:30+00:00
1534738893622640640,"RT @BrightTrending: Worldwide Trends &amp; in Other Locations

Hashtag #คืนนับดาวEP3 

No.2 🌏 Worldwide 
No.1 Thailand 
No.1 Macao
No.2 Laos 
N…",krunmoo,439,0,665,Thailand,2022-06-09 03:27:20+00:00
1534738611392094208,"RT @BrightTrending: [Updated Trending Summary]

#คืนนับดาวEP3 
No. 2 Worldwide 🌏
No. 1 Thailand 
No. 1 Macao
No. 2 Laos 
No. 6 Brunei 
No.…",ingparn,406,0,234,,2022-06-09 03:26:13+00:00
